"","EIR","ft","S","D","A","T","phi","b","m","Sv","Ev","Iv","a","cA","cD","cT","n","mu","rD","rA","rT_S","rT_R"
"40",10,0.2,0.27939794515034,0.00718623915226571,0.711619255909328,0.00179655978806643,0.157996969910667,0.418797989916085,5.12009049521572,0.934682185952317,0.0478691200683061,0.0174486939793772,0.306666666666667,0.0415309231461765,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"41",15,0.2,0.21748589643855,0.00672290463048067,0.774110472773349,0.00168072615762017,0.107391908729956,0.384053807709584,7.25381646743836,0.930843345628805,0.050682470622798,0.0184741837483971,0.306666666666667,0.0406754296102364,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"42",20,0.2,0.178275787175986,0.00633368015312262,0.813807112632611,0.00158342003828065,0.0796598948863824,0.365654828367438,9.38113105857699,0.928700896131699,0.0522525962265479,0.019046507641753,0.306666666666667,0.04003712967655,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"43",30,0.2,0.130829258540163,0.00570279421429254,0.862042248691971,0.00142569855357314,0.0503205800119148,0.347184743613193,13.6399493698567,0.926444055662065,0.0539065549358377,0.0196493894020977,0.306666666666667,0.0391601385082301,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"44",50,0.2,0.0850954293403293,0.00487680305965318,0.908808566835104,0.00121920076491329,0.0269097034550154,0.332770437705966,22.2208754115228,0.924747987493691,0.0551495434218985,0.0201024690844109,0.306666666666667,0.0381491135461215,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"45",100,0.2,0.0453398797857018,0.00412412577528947,0.949504962995186,0.00103103144382237,0.0117348711461859,0.322352540033181,43.9810100809361,0.923959654801386,0.0557272846223949,0.0203130605762193,0.306666666666667,0.0369902533809339,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"46",200,0.2,0.0235401829257905,0.00414939598895146,0.97127307208802,0.00103734899723786,0.00599788155026039,0.317284102412452,88.0739757844608,0.924056313821405,0.055656446638876,0.0202872395397186,0.306666666666667,0.0361091558077649,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"47",0.25,0.3,0.928439084762583,0.00110993365256636,0.0699752957337511,0.000475685851099868,0.786313766064497,0.589759742553586,0.964613943920706,0.991332462043973,0.00635213258684294,0.00231540536918365,0.306666666666667,0.0525603895633975,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"48",0.5,0.3,0.86808629547188,0.00215488183811759,0.128835301902237,0.00092352078776468,0.765827799655238,0.588689303395103,1.10805055542595,0.984908941327805,0.0110597041568135,0.00403135451538101,0.306666666666667,0.0499028629678882,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"49",0.75,0.3,0.815601078830828,0.00307309363610252,0.180008787403311,0.00131704012975822,0.731386732372293,0.586817531916873,1.23514461657599,0.979692674380861,0.0148825220577517,0.00542480356138769,0.306666666666667,0.048250073875034,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
